Date,Name,Agg,Detail,ISO3,ISO,COD
2012/12/24,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/10/13,Afghanistan,Homicide,,AFG,AF,Homicide
2012/10/05,Afghanistan,Homicide,,AFG,AF,Homicide
2012/09/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/08/08,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/08/08,Afghanistan,Homicide,,AFG,AF,Homicide
2012/08/07,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/07/23,Afghanistan,Homicide,,AFG,AF,Homicide
2012/07/22,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/07/22,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/06/19,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/06/01,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/05/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/04/18,Afghanistan,Suicide,,AFG,AF,Suicide
2012/04/16,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2012/01/16,Afghanistan,Air Accident,,AFG,AF,Air Accident
2012/01/16,Afghanistan,Air Accident,,AFG,AF,Air Accident
2012/01/16,Afghanistan,Air Accident,,AFG,AF,Air Accident
2011/12/11,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/12/06,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/10/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/09/25,Afghanistan,Homicide,,AFG,AF,Homicide
2011/09/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/07/30,Afghanistan,Vehicle Accident,Auto,AFG,AF,Vehicle Accident - Auto
2011/07/27,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/07/09,Afghanistan,Homicide,,AFG,AF,Homicide
2011/06/04,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/04/28,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/04/27,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2011/02/07,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/09/07,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/09/06,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/09/06,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/09/06,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/09/06,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/08/05,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/07/29,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
2010/07/20,Afghanistan,Homicide,,AFG,AF,Homicide
2010/07/20,Afghanistan,Homicide,,AFG,AF,Homicide
2010/07/10,Afghanistan,Terrorist Action,,AFG,AF,Terrorist Action
